State Name,Start Time,End Time,Specific Start Time,Specific End Time,Elapsed Time
SetFY,1736413145.8562431,1736413163.5296159,2025-01-09 16:59:05,2025-01-09 16:59:23,17.673
SET_HEIGHT,1736413145.8567054,1736413163.5413885,2025-01-09 16:59:05,2025-01-09 16:59:23,17.685
SET_WIDTH,1736413145.855054,1736413163.5453436,2025-01-09 16:59:05,2025-01-09 16:59:23,17.69
SET_HEIGHT,1736413455.6376233,1736413473.7771513,2025-01-09 17:04:15,2025-01-09 17:04:33,18.14
SetFY,1736413455.6372993,1736413473.7781575,2025-01-09 17:04:15,2025-01-09 17:04:33,18.141
SET_WIDTH,1736413455.6369843,1736413474.8053157,2025-01-09 17:04:15,2025-01-09 17:04:34,19.168
SET_HEIGHT,1736413474.8193393,1736413476.8247418,2025-01-09 17:04:34,2025-01-09 17:04:36,2.005
SET_WIDTH,1736413474.8195505,1736413483.8867536,2025-01-09 17:04:34,2025-01-09 17:04:43,9.067
SET_HEIGHT,1736413515.9692473,1736413517.9833493,2025-01-09 17:05:15,2025-01-09 17:05:17,2.014
SET_WIDTH,1736413515.9687018,1736413517.9855962,2025-01-09 17:05:15,2025-01-09 17:05:17,2.017
SetFY,1736413515.968887,1736413517.9949691,2025-01-09 17:05:15,2025-01-09 17:05:17,2.026
SET_WIDTH,1736413518.0208926,1736413520.0350225,2025-01-09 17:05:18,2025-01-09 17:05:20,2.014
SET_HEIGHT,1736413518.0203748,1736413520.0358207,2025-01-09 17:05:18,2025-01-09 17:05:20,2.015
CAMERA_TASK,1736413520.051644,1736413521.5883098,2025-01-09 17:05:20,2025-01-09 17:05:21,1.537
SetFY,1736413627.7356884,1736413635.55602,2025-01-09 17:07:07,2025-01-09 17:07:15,7.82
SET_HEIGHT,1736413627.7355099,1736413635.5622823,2025-01-09 17:07:07,2025-01-09 17:07:15,7.827
SET_WIDTH,1736413627.7347918,1736413645.6273434,2025-01-09 17:07:07,2025-01-09 17:07:25,17.893
SET_HEIGHT,1736413645.639342,1736413647.6431985,2025-01-09 17:07:25,2025-01-09 17:07:27,2.004
SET_WIDTH,1736413645.636996,1736413654.6827824,2025-01-09 17:07:25,2025-01-09 17:07:34,9.046
CAMERA_TASK,1736413654.7055802,1736413656.2433245,2025-01-09 17:07:34,2025-01-09 17:07:36,1.538
SET_HEIGHT,1736414124.4657385,1736414132.573929,2025-01-09 17:15:24,2025-01-09 17:15:32,8.108
SetFY,1736414124.4659114,1736414132.5912423,2025-01-09 17:15:24,2025-01-09 17:15:32,8.125
SET_WIDTH,1736414124.4655132,1736414141.6238563,2025-01-09 17:15:24,2025-01-09 17:15:41,17.158
SET_HEIGHT,1736414141.6445498,1736414143.6538844,2025-01-09 17:15:41,2025-01-09 17:15:43,2.009
SET_WIDTH,1736414141.6427016,1736414149.694842,2025-01-09 17:15:41,2025-01-09 17:15:49,8.052
CAMERA_TASK,1736414149.7133584,1736414151.2537208,2025-01-09 17:15:49,2025-01-09 17:15:51,1.54
SET_HEIGHT,1736414307.031834,1736414311.5280244,2025-01-09 17:18:27,2025-01-09 17:18:31,4.496
SetFY,1736414307.0314927,1736414311.5300245,2025-01-09 17:18:27,2025-01-09 17:18:31,4.499
SET_WIDTH,1736414307.031709,1736414319.5650713,2025-01-09 17:18:27,2025-01-09 17:18:39,12.533
SET_HEIGHT,1736414319.584684,1736414321.5997775,2025-01-09 17:18:39,2025-01-09 17:18:41,2.015
SET_WIDTH,1736414319.585304,1736414326.6225286,2025-01-09 17:18:39,2025-01-09 17:18:46,7.037
CAMERA_TASK,1736414326.6373055,1736414328.1747808,2025-01-09 17:18:46,2025-01-09 17:18:48,1.537
SetFY,1736414537.1275766,1736414542.5616963,2025-01-09 17:22:17,2025-01-09 17:22:22,5.434
SET_HEIGHT,1736414537.1271775,1736414542.5701709,2025-01-09 17:22:17,2025-01-09 17:22:22,5.443
SET_WIDTH,1736414537.121832,1736414553.632625,2025-01-09 17:22:17,2025-01-09 17:22:33,16.511
CAMERA_TASK,1736414553.6591861,1736414555.2058618,2025-01-09 17:22:33,2025-01-09 17:22:35,1.547
SetFY,1736416499.8301277,1736416501.8374252,2025-01-09 17:54:59,2025-01-09 17:55:01,2.007
SET_HEIGHT,1736416499.8294058,1736416501.8435366,2025-01-09 17:54:59,2025-01-09 17:55:01,2.014
SET_WIDTH,1736416499.8297353,1736416501.8475027,2025-01-09 17:54:59,2025-01-09 17:55:01,2.018
CAMERA_TASK,1736416501.8569508,1736416503.3943071,2025-01-09 17:55:01,2025-01-09 17:55:03,1.537
DistanceCheckObserve,1736416503.3966105,1736416503.9204724,2025-01-09 17:55:03,2025-01-09 17:55:03,0.524
SET_HEIGHT,1736430017.8396547,1736430031.9746213,2025-01-09 21:40:17,2025-01-09 21:40:31,14.135
SetFY,1736430017.8391843,1736430031.9844894,2025-01-09 21:40:17,2025-01-09 21:40:31,14.145
SET_WIDTH,1736430017.8394363,1736430037.004958,2025-01-09 21:40:17,2025-01-09 21:40:37,19.166
CAMERA_TASK,1736430037.0296493,1736430038.564326,2025-01-09 21:40:37,2025-01-09 21:40:38,1.535
SET_HEIGHT,1736430144.9694145,1736430154.4684033,2025-01-09 21:42:24,2025-01-09 21:42:34,9.499
SetFY,1736430144.9689744,1736430154.4774864,2025-01-09 21:42:24,2025-01-09 21:42:34,9.509
SET_WIDTH,1736430144.9692469,1736430156.4863625,2025-01-09 21:42:24,2025-01-09 21:42:36,11.517
CAMERA_TASK,1736430156.5033755,1736430158.0536458,2025-01-09 21:42:36,2025-01-09 21:42:38,1.55
SetFY,1736430217.671869,1736430326.936533,2025-01-09 21:43:37,2025-01-09 21:45:26,109.265
SET_HEIGHT,1736430217.672099,1736430326.9382935,2025-01-09 21:43:37,2025-01-09 21:45:26,109.266
SET_WIDTH,1736430217.671502,1736430326.9414074,2025-01-09 21:43:37,2025-01-09 21:45:26,109.27
CAMERA_TASK,1736430326.968659,1736430328.510117,2025-01-09 21:45:26,2025-01-09 21:45:28,1.541
SET_HEIGHT,1736430556.7155569,1736430561.164342,2025-01-09 21:49:16,2025-01-09 21:49:21,4.449
SET_WIDTH,1736430556.7148013,1736430561.1728284,2025-01-09 21:49:16,2025-01-09 21:49:21,4.458
SetFY,1736430556.7159185,1736430561.1739411,2025-01-09 21:49:16,2025-01-09 21:49:21,4.458
CAMERA_TASK,1736430561.194357,1736430562.7441444,2025-01-09 21:49:21,2025-01-09 21:49:22,1.55
SetFY,1736430817.0829015,1736430822.5881786,2025-01-09 21:53:37,2025-01-09 21:53:42,5.505
SET_WIDTH,1736430817.085861,1736430822.5937598,2025-01-09 21:53:37,2025-01-09 21:53:42,5.508
SET_HEIGHT,1736430817.086299,1736430822.593358,2025-01-09 21:53:37,2025-01-09 21:53:42,5.507
CAMERA_TASK,1736430822.6211767,1736430824.160436,2025-01-09 21:53:42,2025-01-09 21:53:44,1.539
SET_HEIGHT,1736430853.37201,1736430856.6827126,2025-01-09 21:54:13,2025-01-09 21:54:16,3.311
SetFY,1736430853.372152,1736430856.6878054,2025-01-09 21:54:13,2025-01-09 21:54:16,3.316
SET_WIDTH,1736430853.3717546,1736430856.68983,2025-01-09 21:54:13,2025-01-09 21:54:16,3.318
CAMERA_TASK,1736430856.7129192,1736430858.254876,2025-01-09 21:54:16,2025-01-09 21:54:18,1.542
SetFY,1736430911.3236663,1736430914.2120433,2025-01-09 21:55:11,2025-01-09 21:55:14,2.888
SET_HEIGHT,1736430911.3222833,1736430914.2240484,2025-01-09 21:55:11,2025-01-09 21:55:14,2.902
SET_WIDTH,1736430911.3225482,1736430916.2280788,2025-01-09 21:55:11,2025-01-09 21:55:16,4.906
CAMERA_TASK,1736430916.2414737,1736430917.7787673,2025-01-09 21:55:16,2025-01-09 21:55:17,1.537
DistanceCheckObserve,1736430917.7824047,1736430919.433578,2025-01-09 21:55:17,2025-01-09 21:55:19,1.651
SetFY,1736431084.7965798,1736431086.807615,2025-01-09 21:58:04,2025-01-09 21:58:06,2.011
SET_HEIGHT,1736431084.7968717,1736431086.816676,2025-01-09 21:58:04,2025-01-09 21:58:06,2.02
SET_WIDTH,1736431084.7956204,1736431087.8155315,2025-01-09 21:58:04,2025-01-09 21:58:07,3.02
CAMERA_TASK,1736431087.8267891,1736431089.3585994,2025-01-09 21:58:07,2025-01-09 21:58:09,1.532
DistanceCheckObserve,1736431089.3612382,1736431089.881476,2025-01-09 21:58:09,2025-01-09 21:58:09,0.52
SET_WIDTH,1736431227.6424305,1736431239.54907,2025-01-09 22:00:27,2025-01-09 22:00:39,11.907
SetFY,1736431227.6438727,1736431239.5492399,2025-01-09 22:00:27,2025-01-09 22:00:39,11.905
SET_HEIGHT,1736431227.6450014,1736431239.561088,2025-01-09 22:00:27,2025-01-09 22:00:39,11.916
CAMERA_TASK,1736431239.5707645,1736431241.1169162,2025-01-09 22:00:39,2025-01-09 22:00:41,1.546
DistanceCheckObserve,1736431241.1202414,1736431241.6382043,2025-01-09 22:00:41,2025-01-09 22:00:41,0.518
SetFY,1736431435.3763778,1736431437.3947816,2025-01-09 22:03:55,2025-01-09 22:03:57,2.018
SET_WIDTH,1736431435.3767214,1736431437.3951175,2025-01-09 22:03:55,2025-01-09 22:03:57,2.018
SET_HEIGHT,1736431435.3757231,1736431437.4066403,2025-01-09 22:03:55,2025-01-09 22:03:57,2.031
CAMERA_TASK,1736431437.4457574,1736431438.9784036,2025-01-09 22:03:57,2025-01-09 22:03:58,1.533
DistanceCheckObserve,1736431438.98428,1736431439.5025415,2025-01-09 22:03:58,2025-01-09 22:03:59,0.518
SET_HEIGHT,1736431516.8575456,1736431522.0593095,2025-01-09 22:05:16,2025-01-09 22:05:22,5.202
SetFY,1736431516.8579113,1736431522.0605574,2025-01-09 22:05:16,2025-01-09 22:05:22,5.203
SET_WIDTH,1736431516.8577533,1736431522.0691128,2025-01-09 22:05:16,2025-01-09 22:05:22,5.211
SET_HEIGHT,1736431522.0873504,1736431524.1009662,2025-01-09 22:05:22,2025-01-09 22:05:24,2.014
SET_WIDTH,1736431522.0895283,1736431531.1516137,2025-01-09 22:05:22,2025-01-09 22:05:31,9.062
CAMERA_TASK,1736431531.1691747,1736431532.7125154,2025-01-09 22:05:31,2025-01-09 22:05:32,1.543
DistanceCheckObserve,1736431532.7147071,1736431533.2416306,2025-01-09 22:05:32,2025-01-09 22:05:33,0.527
SET_HEIGHT,1736431612.5233798,1736431616.1511743,2025-01-09 22:06:52,2025-01-09 22:06:56,3.628
SetFY,1736431612.522865,1736431616.1679032,2025-01-09 22:06:52,2025-01-09 22:06:56,3.645
SET_WIDTH,1736431612.5219672,1736431623.1984816,2025-01-09 22:06:52,2025-01-09 22:07:03,10.677
SET_HEIGHT,1736431623.214854,1736431625.2261941,2025-01-09 22:07:03,2025-01-09 22:07:05,2.011
SET_WIDTH,1736431623.2143142,1736431629.248671,2025-01-09 22:07:03,2025-01-09 22:07:09,6.034
CAMERA_TASK,1736431629.2652068,1736431630.8057494,2025-01-09 22:07:09,2025-01-09 22:07:10,1.541
DistanceCheckObserve,1736431630.8107736,1736431631.3325806,2025-01-09 22:07:10,2025-01-09 22:07:11,0.522
GlobalPickupTask_1,1736431631.3387797,1736431638.656294,2025-01-09 22:07:11,2025-01-09 22:07:18,7.318
SET_WIDTH,1736431638.6607816,1736431645.70309,2025-01-09 22:07:18,2025-01-09 22:07:25,7.042
SET_HEIGHT,1736431645.7064462,1736431648.7091625,2025-01-09 22:07:25,2025-01-09 22:07:28,3.003
SetFY,1736431908.1647632,1736431910.7511895,2025-01-09 22:11:48,2025-01-09 22:11:50,2.586
SET_HEIGHT,1736431908.1646369,1736431910.7609189,2025-01-09 22:11:48,2025-01-09 22:11:50,2.596
SET_WIDTH,1736431908.1644495,1736431915.78646,2025-01-09 22:11:48,2025-01-09 22:11:55,7.622
SET_HEIGHT,1736431915.804449,1736431917.822923,2025-01-09 22:11:55,2025-01-09 22:11:57,2.018
SET_WIDTH,1736431915.8041747,1736431921.8487918,2025-01-09 22:11:55,2025-01-09 22:12:01,6.045
CAMERA_TASK,1736431921.8656437,1736431924.4101892,2025-01-09 22:12:01,2025-01-09 22:12:04,2.545
DistanceCheckObserve,1736431924.4157894,1736431924.9329104,2025-01-09 22:12:04,2025-01-09 22:12:04,0.517
GlobalPickupTask_1,1736431924.9349015,1736431932.2288613,2025-01-09 22:12:04,2025-01-09 22:12:12,7.294
SET_WIDTH,1736431932.2348144,1736431939.279205,2025-01-09 22:12:12,2025-01-09 22:12:19,7.044
SET_HEIGHT,1736431939.2848191,1736431942.2951257,2025-01-09 22:12:19,2025-01-09 22:12:22,3.01
SET_HEIGHT,1736432215.0112128,1736432217.029373,2025-01-09 22:16:55,2025-01-09 22:16:57,2.018
SetFY,1736432215.0123944,1736432217.045358,2025-01-09 22:16:55,2025-01-09 22:16:57,2.033
SET_WIDTH,1736432215.0109658,1736432222.0434337,2025-01-09 22:16:55,2025-01-09 22:17:02,7.032
SET_HEIGHT,1736432222.0555606,1736432224.074982,2025-01-09 22:17:02,2025-01-09 22:17:04,2.019
SET_WIDTH,1736432222.056117,1736432230.1009002,2025-01-09 22:17:02,2025-01-09 22:17:10,8.045
CAMERA_TASK,1736432230.11241,1736432235.664602,2025-01-09 22:17:10,2025-01-09 22:17:15,5.552
DistanceCheckObserve,1736432235.6680532,1736432237.2317662,2025-01-09 22:17:15,2025-01-09 22:17:17,1.564
GlobalPickupTask_1,1736432237.2363753,1736432245.6330197,2025-01-09 22:17:17,2025-01-09 22:17:25,8.397
SET_WIDTH,1736432245.63661,1736432253.6875892,2025-01-09 22:17:25,2025-01-09 22:17:33,8.051
SET_HEIGHT,1736432253.691162,1736432256.7064345,2025-01-09 22:17:33,2025-01-09 22:17:36,3.015
SET_HEIGHT,1736432256.7304783,1736432264.8378525,2025-01-09 22:17:36,2025-01-09 22:17:44,8.107
SetWidthSim,1736518757.0768888,1736518759.0841157,2025-01-10 22:19:17,2025-01-10 22:19:19,2.007
SetHeightSim,1736518757.0770626,1736518759.0911317,2025-01-10 22:19:17,2025-01-10 22:19:19,2.014
SetWidthSim,1736518759.0950935,1736518761.0996318,2025-01-10 22:19:19,2025-01-10 22:19:21,2.005
SetHeightSim,1736518759.0951831,1736518761.110843,2025-01-10 22:19:19,2025-01-10 22:19:21,2.016
SetWidthSim,1736519085.2796602,1736519087.2917275,2025-01-10 22:24:45,2025-01-10 22:24:47,2.012
SetHeightSim,1736519085.279718,1736519087.2944875,2025-01-10 22:24:45,2025-01-10 22:24:47,2.015
SetWidthSim,1736519087.2987454,1736519089.3043253,2025-01-10 22:24:47,2025-01-10 22:24:49,2.006
SetHeightSim,1736519087.2986462,1736519089.3203597,2025-01-10 22:24:47,2025-01-10 22:24:49,2.022
SetWidthSim,1736519175.4633799,1736519177.4801974,2025-01-10 22:26:15,2025-01-10 22:26:17,2.017
SetHeightSim,1736519175.4634929,1736519177.4846864,2025-01-10 22:26:15,2025-01-10 22:26:17,2.021
SetWidthSim,1736519177.4879682,1736519179.492481,2025-01-10 22:26:17,2025-01-10 22:26:19,2.005
SetHeightSim,1736519177.4881034,1736519179.5006435,2025-01-10 22:26:17,2025-01-10 22:26:19,2.013
SetWidthSim,1736519339.2939725,1736519341.3030987,2025-01-10 22:28:59,2025-01-10 22:29:01,2.009
SetHeightSim,1736519339.2939138,1736519341.3118682,2025-01-10 22:28:59,2025-01-10 22:29:01,2.018
SetWidthSim,1736519341.317049,1736519343.3234656,2025-01-10 22:29:01,2025-01-10 22:29:03,2.006
SetHeightSim,1736519341.316483,1736519343.3303936,2025-01-10 22:29:01,2025-01-10 22:29:03,2.014
SetWidthSim,1736519962.8222349,1736519964.8290677,2025-01-10 22:39:22,2025-01-10 22:39:24,2.007
SetHeightSim,1736519962.8223052,1736519964.838343,2025-01-10 22:39:22,2025-01-10 22:39:24,2.016
SetWidthSim,1736519964.8431773,1736519966.8556023,2025-01-10 22:39:24,2025-01-10 22:39:26,2.012
SetHeightSim,1736519964.843247,1736519966.8601131,2025-01-10 22:39:24,2025-01-10 22:39:26,2.017
SetWidthSim,1736520019.2042577,1736520021.215411,2025-01-10 22:40:19,2025-01-10 22:40:21,2.011
SetHeightSim,1736520019.2043195,1736520021.2224793,2025-01-10 22:40:19,2025-01-10 22:40:21,2.018
SetWidthSim,1736520021.226337,1736520023.2307823,2025-01-10 22:40:21,2025-01-10 22:40:23,2.004
SetHeightSim,1736520021.226412,1736520025.2656054,2025-01-10 22:40:21,2025-01-10 22:40:25,4.039
SetWidthSim,1736520285.1317816,1736520287.1306193,2025-01-10 22:44:45,2025-01-10 22:44:47,1.999
SetHeightSim,1736520285.1316912,1736520287.140277,2025-01-10 22:44:45,2025-01-10 22:44:47,2.009
SetWidthSim,1736520287.1440864,1736520289.156481,2025-01-10 22:44:47,2025-01-10 22:44:49,2.012
SetWidthSim,1736520308.6997974,1736520310.6968908,2025-01-10 22:45:08,2025-01-10 22:45:10,1.997
SetHeightSim,1736520308.6997046,1736520310.700917,2025-01-10 22:45:08,2025-01-10 22:45:10,2.001
SetWidthSim,1736520310.703979,1736520312.7089052,2025-01-10 22:45:10,2025-01-10 22:45:12,2.005
SetHeightSim,1736520310.703894,1736520312.7129586,2025-01-10 22:45:10,2025-01-10 22:45:12,2.009
SetHeightSim,1736528831.8744256,1736528833.8828845,2025-01-11 01:07:11,2025-01-11 01:07:13,2.008
SetWidthSim,1736528831.8745675,1736528833.8874412,2025-01-11 01:07:11,2025-01-11 01:07:13,2.013
SetHeightSim,1736528833.891208,1736528835.899537,2025-01-11 01:07:13,2025-01-11 01:07:15,2.008
SetWidthSim,1736528833.8911335,1736528835.905595,2025-01-11 01:07:13,2025-01-11 01:07:15,2.014
SetHeightSim,1736529081.8740215,1736529083.882213,2025-01-11 01:11:21,2025-01-11 01:11:23,2.008
SetWidthSim,1736529081.8739128,1736529083.8872206,2025-01-11 01:11:21,2025-01-11 01:11:23,2.013
SetHeightSim,1736529083.891099,1736529085.898999,2025-01-11 01:11:23,2025-01-11 01:11:25,2.008
SetWidthSim,1736529083.8910193,1736529085.9027226,2025-01-11 01:11:23,2025-01-11 01:11:25,2.012
GlobalPickupTask_1,1736529086.4103184,1736529108.7258387,2025-01-11 01:11:26,2025-01-11 01:11:48,22.316
SetWidthSim,1736529108.7278457,1736529110.7313552,2025-01-11 01:11:48,2025-01-11 01:11:50,2.004
SetHeightSim,1736529110.732996,1736529112.7405066,2025-01-11 01:11:50,2025-01-11 01:11:52,2.008
GlobalMoveTask_OpenLoop,1736529112.743526,1736529118.3189242,2025-01-11 01:11:52,2025-01-11 01:11:58,5.575
SetHeight_Delay_Sim,1736529112.7435963,1736529118.8214843,2025-01-11 01:11:52,2025-01-11 01:11:58,6.078
SetHeightSim,1736529119.3308294,1736529121.3373952,2025-01-11 01:11:59,2025-01-11 01:12:01,2.007
SetHeightSim,1736529707.9544847,1736529709.9605348,2025-01-11 01:21:47,2025-01-11 01:21:49,2.006
SetWidthSim,1736529707.9543948,1736529709.9670937,2025-01-11 01:21:47,2025-01-11 01:21:49,2.013
SetHeightSim,1736529709.9714472,1736529711.9775703,2025-01-11 01:21:49,2025-01-11 01:21:51,2.006
SetWidthSim,1736529709.9713755,1736529711.983559,2025-01-11 01:21:49,2025-01-11 01:21:51,2.012
GlobalPickupTask_1,1736529712.4911509,1736529723.893578,2025-01-11 01:21:52,2025-01-11 01:22:03,11.402
SetWidthSim,1736529723.8948872,1736529725.9076867,2025-01-11 01:22:03,2025-01-11 01:22:05,2.013
SetHeightSim,1736529725.9089208,1736529727.9143043,2025-01-11 01:22:05,2025-01-11 01:22:07,2.005
GlobalMoveTask_OpenLoop,1736529727.9193864,1736529733.4737518,2025-01-11 01:22:07,2025-01-11 01:22:13,5.554
SetHeight_Delay_Sim,1736529727.9193144,1736529733.973145,2025-01-11 01:22:07,2025-01-11 01:22:13,6.054
GlobalPickupTask_1,1736529734.4771187,1736529745.8330328,2025-01-11 01:22:14,2025-01-11 01:22:25,11.356
SetHeightSim,1736529808.922893,1736529810.933091,2025-01-11 01:23:28,2025-01-11 01:23:30,2.01
SetWidthSim,1736529808.9227808,1736529810.9352834,2025-01-11 01:23:28,2025-01-11 01:23:30,2.013
SetHeightSim,1736529810.9391744,1736529812.9453943,2025-01-11 01:23:30,2025-01-11 01:23:32,2.006
SetWidthSim,1736529810.939088,1736529812.9514904,2025-01-11 01:23:30,2025-01-11 01:23:32,2.012
GlobalPickupTask_1,1736529813.4593382,1736529825.1327348,2025-01-11 01:23:33,2025-01-11 01:23:45,11.673
SetWidthSim,1736529825.134183,1736529827.1460655,2025-01-11 01:23:45,2025-01-11 01:23:47,2.012
SetHeightSim,1736529827.147538,1736529829.153103,2025-01-11 01:23:47,2025-01-11 01:23:49,2.006
GlobalMoveTask_OpenLoop,1736529829.1565015,1736529834.6771588,2025-01-11 01:23:49,2025-01-11 01:23:54,5.521
SetHeight_Delay_Sim,1736529829.1565728,1736529835.1810892,2025-01-11 01:23:49,2025-01-11 01:23:55,6.025
SetHeightSim,1736529835.6871095,1736529837.693664,2025-01-11 01:23:55,2025-01-11 01:23:57,2.007
SetHeightSim,1736530147.8187692,1736530149.8231504,2025-01-11 01:29:07,2025-01-11 01:29:09,2.004
SetWidthSim,1736530147.8186731,1736530149.8288805,2025-01-11 01:29:07,2025-01-11 01:29:09,2.01
SetHeightSim,1736530149.8335695,1736530151.8393955,2025-01-11 01:29:09,2025-01-11 01:29:11,2.006
SetWidthSim,1736530149.833492,1736530151.845309,2025-01-11 01:29:09,2025-01-11 01:29:11,2.012
GlobalPickupTask_1,1736530152.3538327,1736530164.036582,2025-01-11 01:29:12,2025-01-11 01:29:24,11.683
SetWidthSim,1736530164.0380838,1736530166.050821,2025-01-11 01:29:24,2025-01-11 01:29:26,2.013
SetHeightSim,1736530166.0521684,1736530168.0583549,2025-01-11 01:29:26,2025-01-11 01:29:28,2.006
GlobalMoveTask_OpenLoop,1736530168.0615377,1736530173.5989666,2025-01-11 01:29:28,2025-01-11 01:29:33,5.537
SetHeight_Delay_Sim,1736530168.0616295,1736530174.0945294,2025-01-11 01:29:28,2025-01-11 01:29:34,6.033
SetHeightSim,1736530174.6015992,1736530176.6068332,2025-01-11 01:29:34,2025-01-11 01:29:36,2.005
SetHeightSim,1736530398.1138475,1736530400.1242917,2025-01-11 01:33:18,2025-01-11 01:33:20,2.01
SetWidthSim,1736530398.113736,1736530400.1272507,2025-01-11 01:33:18,2025-01-11 01:33:20,2.014
SetHeightSim,1736530400.130572,1736530402.135762,2025-01-11 01:33:20,2025-01-11 01:33:22,2.005
SetWidthSim,1736530400.1306498,1736530402.142712,2025-01-11 01:33:20,2025-01-11 01:33:22,2.012
GlobalPickupTask_1,1736530402.6501129,1736530413.908325,2025-01-11 01:33:22,2025-01-11 01:33:33,11.258
SetWidthSim,1736530413.9100804,1736530415.9224038,2025-01-11 01:33:33,2025-01-11 01:33:35,2.012
SetHeightSim,1736530415.923698,1736530417.9297116,2025-01-11 01:33:35,2025-01-11 01:33:37,2.006
GlobalMoveTask_OpenLoop,1736530417.9331398,1736530423.5046706,2025-01-11 01:33:37,2025-01-11 01:33:43,5.572
SetHeight_Delay_Sim,1736530417.9332137,1736530424.0118961,2025-01-11 01:33:37,2025-01-11 01:33:44,6.079
SetHeightSim,1736530424.5188951,1736530426.5248563,2025-01-11 01:33:44,2025-01-11 01:33:46,2.006
SetHeightSim,1736530523.1930225,1736530525.1989398,2025-01-11 01:35:23,2025-01-11 01:35:25,2.006
SetWidthSim,1736530523.1929555,1736530525.2050407,2025-01-11 01:35:23,2025-01-11 01:35:25,2.012
SetHeightSim,1736530525.209097,1736530527.2163043,2025-01-11 01:35:25,2025-01-11 01:35:27,2.007
SetWidthSim,1736530525.2089806,1736530527.2212439,2025-01-11 01:35:25,2025-01-11 01:35:27,2.012
GlobalPickupTask_1,1736530527.7278283,1736530539.4964612,2025-01-11 01:35:27,2025-01-11 01:35:39,11.769
SetWidthSim,1736530539.4980242,1736530541.510551,2025-01-11 01:35:39,2025-01-11 01:35:41,2.013
SetHeightSim,1736530541.511909,1736530543.51712,2025-01-11 01:35:41,2025-01-11 01:35:43,2.005
GlobalMoveTask_OpenLoop,1736530543.5194387,1736530549.1494634,2025-01-11 01:35:43,2025-01-11 01:35:49,5.63
SetHeight_Delay_Sim,1736530543.5195022,1736530549.6576853,2025-01-11 01:35:43,2025-01-11 01:35:49,6.138
SetHeightSim,1736530550.164558,1736530552.1702373,2025-01-11 01:35:50,2025-01-11 01:35:52,2.006
SetWidthSim,1736530813.5498598,1736530815.5489233,2025-01-11 01:40:13,2025-01-11 01:40:15,1.999
SetHeightSim,1736530813.5499547,1736530815.552805,2025-01-11 01:40:13,2025-01-11 01:40:15,2.003
SetWidthSim,1736530819.482609,1736530821.4854586,2025-01-11 01:40:19,2025-01-11 01:40:21,2.003
SetHeightSim,1736530819.4826748,1736530821.4896576,2025-01-11 01:40:19,2025-01-11 01:40:21,2.007
SetHeightSim,1736530821.4930768,1736530823.4989872,2025-01-11 01:40:21,2025-01-11 01:40:23,2.006
SetWidthSim,1736530821.493022,1736530823.5059998,2025-01-11 01:40:21,2025-01-11 01:40:23,2.013
GlobalPickupTask_1,1736530824.0135798,1736530835.6972919,2025-01-11 01:40:24,2025-01-11 01:40:35,11.684
SetWidthSim,1736530835.698987,1736530837.7111232,2025-01-11 01:40:35,2025-01-11 01:40:37,2.012
SetHeightSim,1736530837.7124577,1736530839.7187293,2025-01-11 01:40:37,2025-01-11 01:40:39,2.006
GlobalMoveTask_OpenLoop,1736530839.7210195,1736530845.3183613,2025-01-11 01:40:39,2025-01-11 01:40:45,5.597
SetHeight_Delay_Sim,1736530839.7210824,1736530845.801851,2025-01-11 01:40:39,2025-01-11 01:40:45,6.081
SetHeightSim,1736531095.2250578,1736531097.2320344,2025-01-11 01:44:55,2025-01-11 01:44:57,2.007
SetWidthSim,1736531095.2251348,1736531097.2386496,2025-01-11 01:44:55,2025-01-11 01:44:57,2.014
SetWidthSim,1736531097.2427497,1736531099.2460983,2025-01-11 01:44:57,2025-01-11 01:44:59,2.003
SetHeightSim,1736531097.242818,1736531099.2490492,2025-01-11 01:44:57,2025-01-11 01:44:59,2.006
GlobalPickupTask_1,1736531099.7568705,1736531117.0856109,2025-01-11 01:44:59,2025-01-11 01:45:17,17.329
SetWidthSim,1736531117.087646,1736531119.100249,2025-01-11 01:45:17,2025-01-11 01:45:19,2.013
SetHeightSim,1736531119.1017578,1736531121.1085496,2025-01-11 01:45:19,2025-01-11 01:45:21,2.007
GlobalMoveTask_OpenLoop,1736531121.1118202,1736531126.6647043,2025-01-11 01:45:21,2025-01-11 01:45:26,5.553
SetHeight_Delay_Sim,1736531121.1118982,1736531127.1716425,2025-01-11 01:45:21,2025-01-11 01:45:27,6.06
SetHeightSim,1736531127.1756608,1736531129.181607,2025-01-11 01:45:27,2025-01-11 01:45:29,2.006
SetHeightSim,1736531265.132153,1736531267.1406667,2025-01-11 01:47:45,2025-01-11 01:47:47,2.009
SetWidthSim,1736531265.1314316,1736531267.1456468,2025-01-11 01:47:45,2025-01-11 01:47:47,2.014
SetHeightSim,1736531267.1502528,1736531269.1560383,2025-01-11 01:47:47,2025-01-11 01:47:49,2.006
SetWidthSim,1736531267.150169,1736531269.1619828,2025-01-11 01:47:47,2025-01-11 01:47:49,2.012
GlobalPickupTask_1,1736531269.6692054,1736531281.35708,2025-01-11 01:47:49,2025-01-11 01:48:01,11.688
SetWidthSim,1736531281.3590999,1736531283.3714857,2025-01-11 01:48:01,2025-01-11 01:48:03,2.012
SetHeightSim,1736531283.3728294,1736531285.37865,2025-01-11 01:48:03,2025-01-11 01:48:05,2.006
